step,cb,random
581,0.910499,0.948365,0.222031
582,0.910653,0.948454,0.221649
583,0.910806,0.948542,0.221269
584,0.910959,0.94863,0.22089
585,0.911111,0.948718,0.220513
586,0.911263,0.948805,0.221843
587,0.911414,0.948893,0.221465
588,0.911565,0.94898,0.222789
589,0.911715,0.949066,0.222411
590,0.911864,0.949153,0.223729
591,0.912014,0.949239,0.22335
592,0.912162,0.949324,0.222973
593,0.91231,0.94941,0.222597
594,0.912458,0.949495,0.222222
595,0.912605,0.94958,0.223529
596,0.912752,0.949664,0.223154
597,0.912898,0.949749,0.222781
598,0.913043,0.949833,0.222408
599,0.913189,0.949917,0.222037
600,0.913333,0.95,0.221667
601,0.913478,0.950083,0.221298
602,0.913621,0.950166,0.222591
603,0.913765,0.950249,0.222222
604,0.913907,0.950331,0.22351
605,0.91405,0.950413,0.224793
606,0.914191,0.950495,0.224422
607,0.914333,0.950577,0.224053
608,0.914474,0.950658,0.225329
609,0.914614,0.950739,0.224959
610,0.914754,0.95082,0.22459
611,0.914894,0.9509,0.224223
612,0.915033,0.95098,0.223856
613,0.915171,0.95106,0.223491
614,0.915309,0.95114,0.223127
615,0.915447,0.95122,0.222764
616,0.915584,0.951299,0.222403
617,0.915721,0.951378,0.222042
618,0.915858,0.951456,0.221683
619,0.915994,0.951535,0.221325
620,0.916129,0.951613,0.220968
621,0.916264,0.951691,0.222222
622,0.916399,0.951768,0.221865
623,0.916533,0.951846,0.221509
624,0.916667,0.951923,0.221154
625,0.9168,0.952,0.2208
626,0.916933,0.952077,0.220447
627,0.917065,0.952153,0.220096
628,0.917197,0.952229,0.219745
629,0.917329,0.952305,0.220986
630,0.91746,0.952381,0.220635
631,0.917591,0.952456,0.220285
632,0.917722,0.952532,0.219937
633,0.917852,0.952607,0.219589
634,0.917981,0.952681,0.219243
635,0.91811,0.952756,0.218898
636,0.918239,0.95283,0.218553
637,0.918367,0.952904,0.21821
638,0.918495,0.952978,0.219436
639,0.918623,0.953052,0.219092
640,0.91875,0.953125,0.220312
641,0.918877,0.953198,0.219969
642,0.919003,0.953271,0.219626
643,0.919129,0.953344,0.219285
644,0.919255,0.953416,0.218944
645,0.91938,0.953488,0.218605
646,0.919505,0.95356,0.218266
647,0.919629,0.953632,0.217929
648,0.919753,0.953704,0.219136
649,0.919877,0.953775,0.218798
650,0.92,0.953846,0.218462
651,0.920123,0.953917,0.218126
652,0.920245,0.953988,0.219325
653,0.920368,0.954058,0.218989
654,0.920489,0.954128,0.218654
655,0.919084,0.954198,0.218321
656,0.919207,0.954268,0.219512
657,0.91933,0.954338,0.219178
658,0.919453,0.954407,0.220365
659,0.919575,0.954476,0.221548
660,0.919697,0.954545,0.221212
661,0.919818,0.954614,0.220877
662,0.918429,0.954683,0.220544
663,0.918552,0.954751,0.220211
664,0.918675,0.954819,0.21988
665,0.918797,0.954887,0.219549
666,0.918919,0.954955,0.219219
667,0.91904,0.955022,0.218891
668,0.919162,0.95509,0.22006
669,0.919283,0.955157,0.221226
670,0.919403,0.955224,0.220896
671,0.919523,0.955291,0.220566
672,0.919643,0.955357,0.221726
673,0.919762,0.955423,0.221397
674,0.919881,0.95549,0.221068
675,0.92,0.955556,0.220741
676,0.920118,0.955621,0.221893
677,0.920236,0.955687,0.223043
678,0.920354,0.955752,0.222714
679,0.920471,0.955817,0.222386
680,0.920588,0.955882,0.222059
681,0.920705,0.955947,0.221733
682,0.920821,0.956012,0.221408
683,0.920937,0.956076,0.221083
