step,cb,random
714,0.952381,0.261905
715,0.952448,0.262937
716,0.952514,0.263966
717,0.95258,0.263598
718,0.952646,0.263231
719,0.952712,0.262865
720,0.952778,0.2625
721,0.952843,0.262136
722,0.952909,0.263158
723,0.952974,0.262794
724,0.953039,0.262431
725,0.953103,0.262069
726,0.953168,0.261708
727,0.953232,0.261348
728,0.953297,0.260989
729,0.953361,0.260631
730,0.953425,0.260274
731,0.953488,0.259918
732,0.953552,0.259563
733,0.953615,0.259209
734,0.953678,0.258856
735,0.953741,0.258503
736,0.953804,0.258152
737,0.953867,0.257802
738,0.95393,0.257453
739,0.953992,0.257104
740,0.954054,0.258108
741,0.954116,0.25776
742,0.954178,0.257412
743,0.95424,0.258412
744,0.954301,0.258065
745,0.954362,0.257718
746,0.954424,0.257373
747,0.954485,0.257028
748,0.954545,0.258021
749,0.954606,0.257677
750,0.954667,0.257333
751,0.954727,0.258322
752,0.954787,0.259309
753,0.954847,0.260292
754,0.954907,0.261273
755,0.954967,0.260927
756,0.955026,0.260582
757,0.955086,0.260238
758,0.955145,0.261214
759,0.955204,0.26087
760,0.955263,0.260526
761,0.955322,0.260184
762,0.955381,0.259843
763,0.955439,0.259502
764,0.955497,0.259162
765,0.955556,0.258824
766,0.955614,0.258486
767,0.955671,0.258149
768,0.955729,0.257812
769,0.955787,0.257477
770,0.955844,0.258442
771,0.955901,0.258106
772,0.955959,0.257772
773,0.956016,0.258732
774,0.956072,0.258398
775,0.954839,0.258065
776,0.954897,0.257732
777,0.954955,0.258687
778,0.955013,0.25964
779,0.955071,0.260591
780,0.955128,0.260256
781,0.955186,0.259923
782,0.955243,0.26087
783,0.9553,0.261814
784,0.955357,0.26148
785,0.955414,0.261146
786,0.955471,0.262087
787,0.955527,0.261753
788,0.955584,0.261421
789,0.95564,0.262357
790,0.955696,0.263291
791,0.955752,0.264223
792,0.955808,0.263889
793,0.955864,0.263556
794,0.955919,0.263224
795,0.955975,0.262893
